7/20/2022 10:41:22 AM,58276410,O
7/20/2022 10:41:27 AM,2357614,X
7/20/2022 10:41:32 AM,7481256,O
7/20/2022 10:41:38 AM,341578260,X
7/20/2022 10:41:43 AM,345128760,-
7/20/2022 11:26:38 AM,241850,O
7/20/2022 11:26:44 AM,34572061,O
7/20/2022 11:26:48 AM,542038,O
7/20/2022 11:26:52 AM,764102385,X
7/20/2022 11:26:55 AM,846127,X
7/20/2022 11:33:13 AM,104527368,-
7/20/2022 11:33:16 AM,143205876,O
7/20/2022 11:40:23 AM,21436,O
7/20/2022 11:40:58 AM,0123456,O
7/20/2022 11:41:08 AM,0123456,X
7/20/2022 11:41:48 AM,10274836,O
7/20/2022 11:41:53 AM,154730268,-
7/20/2022 11:43:57 AM,24185630,Computer
7/20/2022 11:56:41 AM,2648130,Player
7/20/2022 11:56:45 AM,253401768,-
7/20/2022 11:56:48 AM,57481306,Computer
7/20/2022 11:56:52 AM,24031,Player
7/20/2022 11:57:29 AM,23461750,Computer
7/20/2022 11:58:20 AM,2546130,Player
7/20/2022 11:58:36 AM,2843167,Player
7/20/2022 11:58:40 AM,51046287,Player
7/20/2022 11:59:54 AM,21436,O
7/20/2022 11:59:58 AM,25476,X
7/20/2022 12:07:27 PM,2643157,Player
7/20/2022 12:19:28 PM,2347156,Player
7/20/2022 12:19:31 PM,24710583,Player
7/20/2022 12:19:35 PM,047132586,Computer
7/20/2022 12:19:39 PM,1307468,Player
7/20/2022 12:21:14 PM,28130,Player
7/20/2022 12:21:18 PM,682054,Player
7/20/2022 12:46:08 PM,248517306,-
7/20/2022 12:46:11 PM,41375,X
7/20/2022 5:26:08 PM,2346018,Player
7/20/2022 5:26:21 PM,648721,Player
7/20/2022 5:26:30 PM,152084367,-
7/20/2022 5:26:38 PM,420853761,Player
7/20/2022 5:26:43 PM,746830,Player
7/20/2022 5:26:49 PM,540612,Player
7/20/2022 5:26:58 PM,341260875,-
7/20/2022 5:27:04 PM,2764130,Player
7/20/2022 5:27:11 PM,64871305,Player
7/20/2022 5:27:19 PM,253146087,-
7/20/2022 5:27:23 PM,42870,Player
7/20/2022 5:27:29 PM,85243107,Player
7/20/2022 5:27:34 PM,761452,Player
7/20/2022 5:27:39 PM,280146537,-
7/20/2022 5:27:45 PM,521360487,Player
7/21/2022 9:14:01 AM,58423,Player
7/21/2022 9:14:08 AM,148325,Player
7/21/2022 9:14:16 AM,642830,Player
7/21/2022 9:14:26 AM,54371628,Player
7/21/2022 9:14:36 AM,47351208,Player
7/21/2022 9:14:42 AM,540672,Player
7/21/2022 9:14:49 AM,8416205,Computer
7/21/2022 9:15:02 AM,52483,Player
7/21/2022 9:15:32 AM,248537106,-
7/21/2022 9:36:58 AM,2146850,O
7/21/2022 9:38:06 AM,245801736,-
7/21/2022 9:38:50 AM,4217058,O
7/21/2022 9:39:08 AM,27105648,Computer
7/21/2022 9:39:15 AM,28476,Player
7/21/2022 9:39:27 AM,412603758,Computer
